"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 30 21:16:58 EEST 2026","Sat May 30 21:16:59 EEST 2026","702","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC064_analyticsNavLink","TC-064: Analytics nav link navigates to /traffic-analytics","Clicks the Analytics header nav link."
"passed","Sat May 30 21:17:38 EEST 2026","Sat May 30 21:17:38 EEST 2026","126","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC070_dataTableHasRows","TC-070: Data table is visible with at least 1 row after seeding","Three readings posted in @BeforeMethod — table must have at least 1 row."
"passed","Sat May 30 21:18:54 EEST 2026","Sat May 30 21:19:09 EEST 2026","15457","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC078_manualRefresh","TC-078: Manual refresh keeps dashboard on /traffic without error","Clicks the manual refresh icon. Dashboard must stay on /traffic and show no error."
"passed","Sat May 30 21:24:18 EEST 2026","Sat May 30 21:24:35 EEST 2026","16376","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC107_highCongestionFilter","TC-107: Filtering by 'High' congestion returns only High rows or empty state","Selects High from the congestion dropdown and searches. If results exist, every congestion badge must say High."
"passed","Sat May 30 21:17:07 EEST 2026","Sat May 30 21:17:07 EEST 2026","656","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC065_alertsNavLink","TC-065: Alerts nav link navigates to /traffic-alerts","Clicks the Alerts header nav link."
"passed","Sat May 30 21:24:39 EEST 2026","Sat May 30 21:24:56 EEST 2026","17023","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC108_locationFilterScopesRows","TC-108: Filtering by location 'Alexandria' returns only Alexandria rows","Types 'Alexandria' into #filterLocation and searches. All visible location cells must contain 'Alexandria'. The simulator and @BeforeMethod both post to Alexandria so results are guaranteed."
"passed","Sat May 30 21:32:48 EEST 2026","Sat May 30 21:33:04 EEST 2026","15789","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC094_metricFilterScopesToDensity","TC-094: 'Traffic Density' metric filter scopes results","Selects Traffic Density from #aFilterMetric. All metric cells must read 'Traffic Density'."
"passed","Sat May 30 21:16:48 EEST 2026","Sat May 30 21:16:49 EEST 2026","740","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC063_backLinkNavigatesToHome","TC-063: Back link navigates to /home","Clicks .back-link and verifies navigation to /home."
"passed","Sat May 30 21:32:01 EEST 2026","Sat May 30 21:32:32 EEST 2026","30557","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC092_tableOrEmptyState","TC-092: Alerts table shows rows or empty state — no error banner","Two readings crossed thresholds in @BeforeMethod. Table must show rows with no error."
"passed","Sat May 30 21:16:39 EEST 2026","Sat May 30 21:16:40 EEST 2026","25","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC061_trafficDashboardLoads","TC-061: Traffic dashboard loads and URL is /traffic","Navigates to /traffic and verifies the URL contains /traffic but not a sub-route."
"passed","Sat May 30 21:33:40 EEST 2026","Sat May 30 21:33:40 EEST 2026","173","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC097_invalidDateRangeError","TC-097: Invalid date range shows validation error","End date before start date — expects .filter-date-error."
"passed","Sat May 30 21:25:45 EEST 2026","Sat May 30 21:25:46 EEST 2026","1026","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC110_activeFilterBadgeAppears","TC-110: Active filter badge appears after applying a congestion filter","Applies a Moderate congestion filter and verifies the .filter-active-indicator badge appears. The badge text should contain '1 active'."
"passed","Sat May 30 21:33:15 EEST 2026","Sat May 30 21:33:31 EEST 2026","15782","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC095_metricFilterScopesToSpeed","TC-095: 'Average Speed' metric filter scopes results","Selects Average Speed from #aFilterMetric. All metric cells must read 'Average Speed'."
"passed","Sat May 30 21:27:38 EEST 2026","Sat May 30 21:27:40 EEST 2026","1603","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC116_paginationNextPage","TC-116: Pagination controls appear and next page works when data spans multiple pages","If more than 20 records exist (default page size), pagination is shown. Clicks Next and verifies the active page number increases and rows are still present."
"passed","Sat May 30 21:23:59 EEST 2026","Sat May 30 21:24:15 EEST 2026","16807","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC106_congestionFilterScopesRows","TC-106: Filtering by 'Moderate' congestion scopes all visible rows","Selects Moderate from #filterCongestion and clicks Search. All visible .congestion-badge elements must read 'Moderate'. The seeded Moderate reading (density=277) guarantees at least one result."
"passed","Sat May 30 21:17:11 EEST 2026","Sat May 30 21:17:11 EEST 2026","147","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC066_quickActionAnalytics","TC-066: 'Analytics & Search' quick action navigates to /traffic-analytics","Clicks the Analytics & Search quick-action-btn."
"passed","Sat May 30 21:25:42 EEST 2026","Sat May 30 21:25:43 EEST 2026","1025","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC109_nonExistentLocationShowsEmptyState","TC-109: Filtering by non-existent location shows empty state","Types a location that does not exist in the data. Expects the empty state."
"passed","Sat May 30 21:17:24 EEST 2026","Sat May 30 21:17:25 EEST 2026","620","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC067_quickActionAlerts","TC-067: 'Traffic Alerts' quick action navigates to /traffic-alerts","Clicks the Traffic Alerts quick-action-btn."
"passed","Sat May 30 21:26:34 EEST 2026","Sat May 30 21:26:34 EEST 2026","338","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC113_invalidDateRangeShowsError","TC-113: Invalid date range (end before start) shows validation error","Sets end date before start date using JavaScript (required for datetime-local inputs in Chrome). Clicks Search. Expects .filter-date-error to appear."
"passed","Sat May 30 21:33:45 EEST 2026","Sat May 30 21:33:45 EEST 2026","190","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC098_markAllReadVisibility","TC-098: Mark All Read button appears only when unread alerts exist",".btn-mark-all only rendered when unreadCount > 0. Verifies presence matches unread rows."
"passed","Sat May 30 21:19:17 EEST 2026","Sat May 30 21:19:18 EEST 2026","459","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC079_autoRefreshToggle","TC-079: Auto-refresh toggle disables then re-enables","btn-auto-refresh.active by default. Toggling removes then restores the class."
"passed","Sat May 30 21:18:50 EEST 2026","Sat May 30 21:18:51 EEST 2026","232","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC077_viewAllAlertsLink","TC-077: 'View All Alerts' link navigates to /traffic-alerts","Clicks the View All Alerts anchor in the recent alerts section."
"passed","Sat May 30 21:18:05 EEST 2026","Sat May 30 21:18:05 EEST 2026","197","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC074_congestionChartFourRows","TC-074: Congestion distribution shows exactly 4 level rows","Expects 4 .congestion-row elements: Low, Moderate, High, Severe."
"passed","Sat May 30 21:17:27 EEST 2026","Sat May 30 21:17:27 EEST 2026","89","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC068_statsCardsDisplayed","TC-068: Stats section shows exactly 5 stat cards","Stats section must be visible with exactly 5 non-skeleton stat cards."
"passed","Sat May 30 21:17:33 EEST 2026","Sat May 30 21:17:33 EEST 2026","147","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC069_statValuesNonEmpty","TC-069: All 5 stat card values are loaded and non-empty","Three readings were seeded in @BeforeMethod. All stat values must be non-empty."
"passed","Sat May 30 21:19:36 EEST 2026","Sat May 30 21:19:37 EEST 2026","983","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC080_unauthenticatedAccess","TC-080: Unauthenticated /traffic access redirects to /signin","Deletes all cookies then navigates to /traffic. Angular auth guard must redirect."
"passed","Sat May 30 21:33:54 EEST 2026","Sat May 30 21:33:55 EEST 2026","770","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC100_backLink","TC-100: Back link navigates to /traffic dashboard","Clicks .back-link and verifies /traffic."
"passed","Sat May 30 21:25:50 EEST 2026","Sat May 30 21:25:51 EEST 2026","1502","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC111_twoFiltersShowCountTwo","TC-111: Applying two filters shows badge with count 2","Applies both a location filter and a congestion filter. Badge must show '2 active'."
"passed","Sat May 30 21:33:50 EEST 2026","Sat May 30 21:33:50 EEST 2026","137","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC099_severityBadgesValid","TC-099: Every alert row has a severity badge of High, Medium, or Low","Iterates .severity-badge and asserts each is High, Medium, or Low."
"passed","Sat May 30 21:26:09 EEST 2026","Sat May 30 21:26:28 EEST 2026","18376","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC112_resetClearsFilters","TC-112: Reset removes the active filter badge and restores full results","Applies a filter, records filtered count, clicks Reset, then verifies the badge disappears and the total count is >= the filtered count."
"passed","Sat May 30 21:17:42 EEST 2026","Sat May 30 21:17:42 EEST 2026","93","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC071_paginationDisplayed","TC-071: Pagination controls appear when data exceeds page size","Checks that when more than 10 records exist pagination controls are shown."
"passed","Sat May 30 21:33:35 EEST 2026","Sat May 30 21:33:36 EEST 2026","554","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC096_resetRestoresList","TC-096: Reset clears metric filter and restores full list","Applies density filter, records count, resets, verifies count >= filtered count."
"passed","Sat May 30 21:18:11 EEST 2026","Sat May 30 21:18:41 EEST 2026","30449","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC075_recentAlertsSectionDisplayed","TC-075: Recent alerts section is displayed","High-density and low-speed readings crossed thresholds, so at least one alert should exist. Section must show alerts or the empty state — not an error."
"passed","Sat May 30 21:23:21 EEST 2026","Sat May 30 21:23:51 EEST 2026","30208","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC104_defaultLoadShowsResults","TC-104: Default load shows results with no active filter badge","On initial open with no filters applied, the table must show rows (data was seeded in @BeforeMethod) and no .filter-active-indicator badge should appear."
"passed","Sat May 30 21:27:49 EEST 2026","Sat May 30 21:27:54 EEST 2026","5611","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC118_firstRowMatchesApi","TC-118: First table row values match the latest record from the API","Opens the analytics page (which loads with sort=timestamp,desc by default), reads the API first record and the UI first row at the same moment, and asserts location, density, speed, and congestion level match."
"passed","Sat May 30 21:27:03 EEST 2026","Sat May 30 21:27:35 EEST 2026","31858","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC115_changingSortReturnsResults","TC-115: Changing sort order re-fetches results without error","Selects 'trafficDensity,desc' from the sort dropdown and searches. Expects results present with no error banner, and the active filter badge reflects the non-default sort."
"passed","Sat May 30 21:34:21 EEST 2026","Sat May 30 21:34:23 EEST 2026","2038","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC102_unauthenticatedAccess","TC-102: Unauthenticated /traffic-alerts access redirects to /signin","Deletes cookies then navigates to /traffic-alerts. Auth guard must redirect."
"passed","Sat May 30 21:28:08 EEST 2026","Sat May 30 21:28:09 EEST 2026","747","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC120_alertsNavLink","TC-120: Alerts nav link navigates to /traffic-alerts","Clicks the Alerts link in the header nav bar."
"passed","Sat May 30 21:23:54 EEST 2026","Sat May 30 21:23:54 EEST 2026","54","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC105_recordCountIsPositive","TC-105: Record count label shows a positive number","The .record-count span must show a positive integer after data was seeded."
"passed","Sat May 30 21:17:57 EEST 2026","Sat May 30 21:17:57 EEST 2026","79","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC073_chartsSectionHasThreeCards","TC-073: Charts section is visible with at least 3 chart cards","Density line, speed bar, and congestion distribution charts must all be present."
"passed","Sat May 30 21:32:37 EEST 2026","Sat May 30 21:32:37 EEST 2026","34","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC093_allBadgesAreTrafficType","TC-093: All visible type badges have class type-traffic","This page only shows Traffic alerts. No Air or Light type badges should appear."
"passed","Sat May 30 21:19:22 EEST 2026","Sat May 30 21:19:24 EEST 2026","1676","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC081_tableFirstRowMatchesApi","TC-081: Real-Time Traffic Data table first row matches the latest API record","Seeds a reading, refreshes the dashboard, waits for table to re-render, then reads the API and UI at the same moment and asserts they match."
"passed","Sat May 30 21:17:50 EEST 2026","Sat May 30 21:17:51 EEST 2026","1074","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC072_nextPageChangesContent","TC-072: Clicking Next page changes the active page indicator","Only runs when pagination is available. Verifies active page number increases."
